code,name,qty
BRG101,Air Mineral 600ml,120
BRG102,Air Mineral 1.5L,60
BRG103,Beras 5 Kg,25
BRG104,Gula Pasir 1 Kg,18
BRG105,Minyak Goreng 1 Liter,32
BRG106,Minyak Goreng 2 Liter,15
BRG107,Telur Ayam,55
BRG108,Indomie Goreng,140
BRG109,Indomie Kuah,130
BRG110,Susu UHT 1 Liter,28
BRG111,Susu Kental Manis,40
BRG112,Tepung Terigu 1 Kg,38
BRG113,Kopi Sachet,95
BRG114,Teh Celup,72
BRG115,Biskuit Coklat,50
BRG116,Keripik Kentang,44
BRG117,Saos Tomat,22
BRG118,Kecap Manis,20
BRG119,Detergen Bubuk,16
BRG120,Sabun Mandi,80
